id,division,divisionName,sectionCode,sectionTitle,itemCode,workElementDescription,unitOriginal,unit,manHoursPerUnit,sourcePageNumberApprox,sourceTableFile,reviewNotes,replacesReviewRows
01-51-13.80-0300-trailer-mounted-floodlight-set-4-light-telescoping-ea,01,General Requirements,01 51 13.80,Trailer Mounted Floodlight Set,0300,"Trailer Mounted Floodlight Set, 4 Light, Telescoping",Each,EA,0.5,51,fileoutpart20.xlsx,PDF shows .5 man-hours; extraction had 5.0.,01-51-13.80-trailer-mounted-floodlight-set-4-light-telescoping-each
01-51-13.80-0400-jobsite-portolet-ea,01,General Requirements,01 51 13.80,Jobsite Portolet,0400,Jobsite Portolet,Each,EA,0.5,51,fileoutpart20.xlsx,PDF shows .5 man-hours; extraction had 5.0.,01-51-13.80-jobsite-portolet-each
01-54-23.70-0010-erect-and-dismantle-tubular-scaffold-including-planks-and-leveling-sf-wall-surface,01,General Requirements,01 54 23.70,Scaffolding,0010,"Erect and dismantle tubular scaffold, including planks and leveling",square foot of wall surface,SF_WALL_SURFACE,0.04,51,fileoutpart20.xlsx,,01-54-23.70-0010-scaffolding-0010-erect-and-dismantle-tubular-scaffold-including-planks-and-leveling-square-foot-of-wall-surface
01-54-36.00-0010-cese-mobilization-or-demobilization-ea,01,General Requirements,01 54 36.00,CESE Mobilization or Demobilization,0010,CESE Mobilization or Demobilization,Each,EA,3.0,51,fileoutpart20.xlsx,,01-54-36.00-cese-mobilization-or-demobilization-each
01-54-39.00-0010-tool-kit-inventory-kit,01,General Requirements,01 54 39.00,Tool Kit Inventory,0010,Tool Kit Inventory,Kit,KIT,2.0,51,fileoutpart20.xlsx,,01-54-39.00-tool-kit-inventory-kit
01-58-13.00-0010-project-sign-ea,01,General Requirements,01 58 13.00,Project Sign,0010,Project Sign,Each,EA,16.0,51,fileoutpart20.xlsx,,01-58-13.00-project-sign-each
02-58-13.10-0010-snow-fence-on-steel-posts-10-feet-on-center-4-feet-high-lf,02,Existing Conditions,02 58 13.10,Snow Fencing System,0010,"Snow fence on steel posts 10 feet on center, 4 feet high",LF,LF,0.064,57,fileoutpart34.xlsx,,02-58-13.10-0010-snow-fencing-system-0010-snow-fence-on-steel-posts-10-feet-on-center-4-feet-high-lf
03-11-13.20-0010-exterior-spandrel-plywood-one-use-12-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0010,"Exterior spandrel, plywood, one use, 12-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.283,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-13.20-0020-exterior-spandrel-plywood-one-use-18-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0020,"Exterior spandrel, plywood, one use, 18-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.255,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-13.20-0030-exterior-spandrel-plywood-one-use-24-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0030,"Exterior spandrel, plywood, one use, 24-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.241,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-13.20-0040-interior-beam-plywood-one-use-12-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0040,"Interior beam, plywood, one use, 12-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.213,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-13.20-0050-interior-beam-plywood-one-use-24-inch-width-sf-contact-surface,03,Concrete,03 11 13.20,"Beams and Girders, Forms in Place",0050,"Interior beam, plywood, one use, 24-inch width",SF of contact surface,SF_CONTACT_SURFACE,0.2,63,fileoutpart48.xlsx,,03-11-13.20-beams-and-girders-forms-in-place-sf-of-contact-surface
03-11-23.75-0010-stairs-forms-in-place-sf,03,Concrete,03 11 23.75,"Stairs, Forms in Place",0010,"Stairs, Forms in Place",SF,SF,0.55,65,fileoutpart52.xlsx,PDF shows '0.55 Complete'; extraction converted dashed line to negative rate.,03-11-23.75-0010-stairs-forms-in-place-sf
03-11-13.85-0010-wall-job-built-plywood-to-8-feet-sf-contact-surface,03,Concrete,03 11 13.85,"Walls, Forms in Place",0010,"Wall, job-built plywood, to 8 feet",SF of contact surface,SF_CONTACT_SURFACE,0.173,65,fileoutpart52.xlsx,,03-11-13.85-0010-walls-forms-in-place-0010-wall-job-built-plywood-to-8-feet-0020-wall-over-8-to-16-feet-hig-sf-of-contact-surface
03-11-13.85-0020-wall-over-8-to-16-feet-high-sf-contact-surface,03,Concrete,03 11 13.85,"Walls, Forms in Place",0020,"Wall, over 8 to 16 feet high",SF of contact surface,SF_CONTACT_SURFACE,0.227,65,fileoutpart52.xlsx,,03-11-13.85-0010-walls-forms-in-place-0010-wall-job-built-plywood-to-8-feet-0020-wall-over-8-to-16-feet-hig-sf-of-contact-surface
04-05-13.30-0010-mixing-cf,04,Masonry,04 05 13.30,Mortar,0010,Mixing,CF,CF,0.083,78,fileoutpart82.xlsx,,04-05-13.30-0010-mortar-0010-mixing-cf
05-42-13.40-0010-installation-to-band-joists-beams-or-headers-18-ga-x-6-inch-x-2-inch-flange-ea,05,Metals,05 42 13.40,Cold Formed Metal Joist Framing,0010,"Installation to band joists, beams, or headers, 18 GA x 6 inch x 2 inch flange",Each,EA,0.145,93,fileoutpart126.xlsx,,05-42-13.40-0010-cold-formed-metal-joist-framing-0010-installation-to-band-joists-beams-or-headers-18-ga-x--each
05-42-23.05-0010-framing-bracing-16-ga-x-1-1-2-inch-channel-through-trusses-or-rafters-16-inch-oc-lf,05,Metals,05 42 23.05,Cold Formed Metal Roof Joist Framing Bracing,0010,"Framing, Bracing 16 GA x 1 1/2 inch channel through trusses or rafters 16 inch OC",LF,LF,0.0178,93,fileoutpart126.xlsx,,05-42-23.05-0010-cold-formed-metal-roof-joist-framing-bracing-0010-framing-bracing-16-ga-x-1-1-2-inch-chann-lf
05-42-23.10-0100-framing-bridging-solid-between-rafters-rafters-at-16-inch-oc-18-ga-by-4-inch-deep-ea,05,Metals,05 42 23.10,Cold Formed Metal Roof Joist Framing Bridging,0100,"Framing, Bridging, solid between rafters, rafters at 16 inch OC, 18 GA by 4 inch deep",Each,EA,0.1333,93,fileoutpart126.xlsx,,05-42-23.10-0100-cold-formed-metal-roof-joist-framing-bridging-0100-framing-bridging-solid-between-rafters--each
05-42-23.60-0100-boxed-ridge-beam-18-ga-6-inches-deep-lf,05,Metals,05 42 23.60,Cold Formed Metal Roof Joist Framing Roof Rafters,0100,"Boxed ridge beam, 18 GA, 6 inches deep",LF,LF,0.1,93,fileoutpart126.xlsx,,05-42-23.60-0100-cold-formed-metal-roof-joist-framing-roof-rafters-0100-boxed-ridge-beam-18-ga-6-inches-dee-lf-each
05-42-23.60-0200-rafters-2-inch-flange-18-ga-6-inches-deep-ea,05,Metals,05 42 23.60,Cold Formed Metal Roof Joist Framing Roof Rafters,0200,"Rafters, 2 inch flange, 18 GA, 6 inches deep",Each,EA,0.457,93,fileoutpart126.xlsx,,05-42-23.60-0100-cold-formed-metal-roof-joist-framing-roof-rafters-0100-boxed-ridge-beam-18-ga-6-inches-dee-lf-each
05-42-23.70-0010-continuous-ledger-track-at-wall-studs-16-inch-oc-18-ga-x-6-inch-wide-lf,05,Metals,05 42 23.70,Cold Formed Metal Roof Joist Framing Soffits and Canopies,0010,"Continuous ledger track at wall, studs 16 inch OC, 18 GA x 6 inch wide",LF,LF,0.32,93,fileoutpart126.xlsx,,05-42-23.70-0010-cold-formed-metal-roof-joist-framing-soffits-and-canopies-0010-continuous-ledger-track-at--lf-each
05-42-23.70-0100-horizontal-soffit-and-canopy-members-18-ga-1-5-8-inch-flange-by-6-inch-deep-ea,05,Metals,05 42 23.70,Cold Formed Metal Roof Joist Framing Soffits and Canopies,0100,"Horizontal soffit and canopy members, 18 GA 1 5/8 inch flange by 6 inch deep",Each,EA,0.145,93,fileoutpart126.xlsx,,05-42-23.70-0010-cold-formed-metal-roof-joist-framing-soffits-and-canopies-0010-continuous-ledger-track-at--lf-each
07-26-10.10-0010-various-materials-e-g-aluminum-and-kraft-foil-one-side-or-two-sides-asphalt-felt-sheathing-square,07,Thermal and Moisture Protection,07 26 10.10,Vapor Retarders,0010,"Various materials, e.g., aluminum and kraft, foil one side or two sides; asphalt felt sheathing paper; polyethylene vapor barrier, etc.",Square,SQUARE,0.287,112,fileoutpart176.xlsx,,07-26-10.10-0010-vapor-retarders-0010-various-materiels-e-g-aluminum-and-kraft-foil-one-side-or-two-sides-a-square
08-71-20.95-0010-various-types-and-sizes-average-ea,08,Openings,08 71 20.95,Kick Plates,0010,"Various types and sizes, average",Each,EA,0.709,124,fileoutpart202.xlsx,,08-71-20.95-0010-kick-plates-0010-various-types-and-sizes-average-each
08-91-19.10-0010-aluminum-with-screen-residential-8-by-8-inches-minimum-ea,08,Openings,08 91 19.10,Aluminum Louvers,0010,"Aluminum with screen, residential, 8 by 8 inches, minimum",Each,EA,0.281,124,fileoutpart206.xlsx,,08-91-19.10-0010-aluminum-louvers-0010-aluminum-with-screen-residential-8-by-8-inches-minimum-0020-24-by-30-each-each
08-91-19.10-0020-aluminum-louver-24-by-30-inches-maximum-ea,08,Openings,08 91 19.10,Aluminum Louvers,0020,"Aluminum louver, 24 by 30 inches, maximum",Each,EA,0.709,124,fileoutpart206.xlsx,,08-91-19.10-0010-aluminum-louvers-0010-aluminum-with-screen-residential-8-by-8-inches-minimum-0020-24-by-30-each-each
08-95-13.10-0010-soffit-vent-continuous-3-inches-wide-aluminum-lf,08,Openings,08 95 13.10,Wall Louvers,0010,"Soffit vent, continuous, 3 inches wide, aluminum",LF,LF,0.053,124,fileoutpart206.xlsx,,08-95-13.10-0010-wall-louvers-0010-soffit-vent-continuous-3-inches-wide-aluminum-0020-under-eaves-vent-alum-lf-each
08-95-13.10-0020-under-eaves-vent-aluminum-16-by-4-inches-and-16-by-8-inches-ea,08,Openings,08 95 13.10,Wall Louvers,0020,"Under eaves vent, aluminum, 16 by 4 inches and 16 by 8 inches",Each,EA,0.222,124,fileoutpart206.xlsx,,08-95-13.10-0010-wall-louvers-0010-soffit-vent-continuous-3-inches-wide-aluminum-0020-under-eaves-vent-alum-lf-each
09-68-05.11-0010-clamp-down-brass-divider-12-foot-strip-vinyl-to-carpet-ea,09,Finishes,09 68 05.11,Flooring Transition Strip,0010,"Clamp down brass divider, 12-foot strip, vinyl to carpet",Each,EA,0.34,135,fileoutpart236.xlsx,,09-68-05.11-0010-flooring-transition-strip-0010-clamp-down-brass-divider-12-foot-strip-vinyl-to-carpet-each
09-68-10.10-0010-variety-of-types-e-g-sponge-rubber-felt-and-bonded-urethane-sy,09,Finishes,09 68 10.10,Commercial Grade Carpet Pad,0010,"Variety of types, e.g., sponge rubber, felt, and bonded urethane",SY,SY,0.071,135,fileoutpart236.xlsx,,09-68-10.10-0010-commercial-grade-carpet-pad-0010-variety-of-types-e-g-sponge-rubber-felt-and-bonded-uretha-sy
09-68-13.10-0010-tufted-nylon-18-by-18-inches-hard-back-or-cushion-back-20-ounce-or-26-ounce-sy,09,Finishes,09 68 13.10,Carpet Tile,0010,"Tufted nylon, 18 by 18 inches, hard back or cushion back, 20 ounce or 26 ounce",SY,SY,0.071,135,fileoutpart236.xlsx,,09-68-13.10-0010-carpet-tile-0010-tufted-nylon-18-by-18-inches-hard-back-or-cushion-back-20-ounce-or-26-oun-sy-sy
09-68-13.10-0020-tufted-nylon-24-by-24-inches-24-ounce-35-ounce-or-42-ounce-sy,09,Finishes,09 68 13.10,Carpet Tile,0020,"Tufted nylon, 24 by 24 inches, 24 ounce, 35 ounce, or 42 ounce",SY,SY,0.133,135,fileoutpart236.xlsx,,09-68-13.10-0010-carpet-tile-0010-tufted-nylon-18-by-18-inches-hard-back-or-cushion-back-20-ounce-or-26-oun-sy-sy
09-68-20.10-0010-nylon-level-loop-26-ounce-light-to-medium-traffic-sf,09,Finishes,09 68 20.10,Indoor Athletic Carpet,0010,"Nylon, level loop, 26 ounce, light to medium traffic",SF,SF,0.039,135,fileoutpart236.xlsx,,09-68-20.10-0010-indoor-athletic-carpet-0010-nylon-level-loop-26-ounce-light-to-medium-traffic-sf
09-69-13.10-0010-access-floor-package-including-panel-pedestal-stringers-and-laminate-cover-e-g-computer-ro-sf,09,Finishes,09 69 13.10,Access Floors,0010,"Access floor package including panel, pedestal, stringers, and laminate cover, e.g., computer room",SF,SF,0.065,135,fileoutpart238.xlsx,Extraction read .0650 as 650.0.,09-69-13.10-0010-access-floors-0010-access-floor-package-including-panel-pedestal-stringers-and-laminate-co-sf
12-54-16.00-0010-folding-chair-setup-ea,12,Furnishings,12 54 16.00,Restaurant Furniture,0010,Folding chair setup,Each,EA,0.0083,147,fileoutpart272.xlsx,,12-54-16.00-0010-restaurant-furniture-0010-folding-chair-setup-0020-folding-table-setup-each
12-54-16.00-0020-folding-table-setup-ea,12,Furnishings,12 54 16.00,Restaurant Furniture,0020,Folding table setup,Each,EA,0.0333,147,fileoutpart272.xlsx,,12-54-16.00-0010-restaurant-furniture-0010-folding-chair-setup-0020-folding-table-setup-each
12-59-16.00-0010-desk-assembly-and-setup-lf,12,Furnishings,12 59 16.00,Office Furniture,0010,Desk assembly and setup,LF,LF,1.0,147,fileoutpart272.xlsx,,12-59-16.00-0010-office-furniture-0010-desk-assembly-and-setup-lf
13-00-00.00-0010-install-weapons-clearing-barrel-ea,13,Special Construction,13 00 00.00,Weapons Clearing Facility,0010,Install weapons clearing barrel,Each,EA,4.31,149,fileoutpart274.xlsx,,13-00-00.00-0010-weapons-clearing-facility-0010-install-weapons-clearing-barrel-each
13-36-13.00-0010-standard-heights-ea,13,Special Construction,13 36 13.00,Steel Towers,0010,Standard heights,Each,EA,20.0,152,fileoutpart282.xlsx,,13-36-13.00-0010-steel-towers-0010-standard-heights-each
33-81-13.10-0010-guyed-50-feet-high-40-pound-section-wind-load-70-miles-per-hour-ea,33,Utilities,33 81 13.10,"Antenna, Radio Tower",0010,"Guyed, 50 feet high, 40 pound section, wind load 70 miles per hour",Each,EA,22.0,152,fileoutpart282.xlsx,,33-81-13.10-0010-antenna-radio-tower-0010-guyed-50-feet-high-40-pound-section-wind-load-70-miles-per-hour-0-each-each
33-81-13.10-0020-self-supporting-60-feet-high-wind-load-70-miles-per-hour-ea,33,Utilities,33 81 13.10,"Antenna, Radio Tower",0020,"Self-supporting, 60 feet high, wind load 70 miles per hour",Each,EA,40.0,152,fileoutpart282.xlsx,,33-81-13.10-0010-antenna-radio-tower-0010-guyed-50-feet-high-40-pound-section-wind-load-70-miles-per-hour-0-each-each
22-05-23.10-0010-gas-cocks-threaded-1-8-1-2-inch-pipe-diameter-ea,22,Plumbing,22 05 23.10,"Valves, Brass",0010,"Gas cocks, threaded, 1/8-1/2 inch pipe diameter",Each,EA,0.443,164,fileoutpart312.xlsx,,22-05-23.10-gas-cocks-threaded-each
22-05-23.10-0020-gas-cocks-threaded-3-4-inch-pipe-diameter-ea,22,Plumbing,22 05 23.10,"Valves, Brass",0020,"Gas cocks, threaded, 3/4 inch pipe diameter",Each,EA,0.484,164,fileoutpart312.xlsx,,22-05-23.10-gas-cocks-threaded-each
22-05-23.10-0030-gas-cocks-threaded-1-inch-pipe-diameter-ea,22,Plumbing,22 05 23.10,"Valves, Brass",0030,"Gas cocks, threaded, 1 inch pipe diameter",Each,EA,0.56,164,fileoutpart312.xlsx,,22-05-23.10-gas-cocks-threaded-each
22-05-23.10-0040-gas-cocks-threaded-1-1-4-inch-pipe-diameter-ea,22,Plumbing,22 05 23.10,"Valves, Brass",0040,"Gas cocks, threaded, 1 1/4 inch pipe diameter",Each,EA,0.709,164,fileoutpart312.xlsx,,22-05-23.10-gas-cocks-threaded-each
22-05-23.20-0010-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-1-8-1-2-inch-pipe-diamete-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0010,"Average time for bronze angle, ball, swing-check, gate, globe valves, 1/8-1/2 inch pipe diameter",Each,EA,0.443,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0020-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-3-4-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0020,"Average time for bronze angle, ball, swing-check, gate, globe valves, 3/4 inch pipe diameter",Each,EA,0.532,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0030-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-1-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0030,"Average time for bronze angle, ball, swing-check, gate, globe valves, 1 inch pipe diameter",Each,EA,0.56,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0040-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-1-1-4-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0040,"Average time for bronze angle, ball, swing-check, gate, globe valves, 1 1/4 inch pipe diameter",Each,EA,0.709,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0050-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-1-1-2-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0050,"Average time for bronze angle, ball, swing-check, gate, globe valves, 1 1/2 inch pipe diameter",Each,EA,0.818,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0060-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-2-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0060,"Average time for bronze angle, ball, swing-check, gate, globe valves, 2 inch pipe diameter",Each,EA,0.967,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0070-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-2-1-2-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0070,"Average time for bronze angle, ball, swing-check, gate, globe valves, 2 1/2 inch pipe diameter",Each,EA,1.42,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.20-0080-average-time-for-bronze-angle-ball-swing-check-gate-globe-valves-3-inch-pipe-diameter-ea,22,Plumbing,22 05 23.20,"Valves, Bronze",0080,"Average time for bronze angle, ball, swing-check, gate, globe valves, 3 inch pipe diameter",Each,EA,1.637,164,fileoutpart312.xlsx,,22-05-23.20-average-time-for-the-following-valves-each
22-05-23.60-0100-foot-valve-pvc-1-8-1-2-inch-pipe-diameter-ea,22,Plumbing,22 05 23.60,"Valves, Plastic",0100,"Foot valve, PVC, 1/8-1/2 inch pipe diameter",Each,EA,0.313,164,fileoutpart312.xlsx,,22-05-23.60-foot-valve-pvc-y-sediment-strainer-pvc-each-each
22-05-23.60-0110-foot-valve-pvc-3-4-inch-pipe-diameter-ea,22,Plumbing,22 05 23.60,"Valves, Plastic",0110,"Foot valve, PVC, 3/4 inch pipe diameter",Each,EA,0.332,164,fileoutpart312.xlsx,,22-05-23.60-foot-valve-pvc-y-sediment-strainer-pvc-each-each
